[05Dec2024 00:11:43.954] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=421, y=58, z=-27} BlockPos{x=421, y=59, z=-26}
[05Dec2024 00:12:59.078] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=378, y=54, z=65} BlockPos{x=378, y=53, z=66}
[05Dec2024 00:12:59.153] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=378, y=54, z=65} BlockPos{x=378, y=53, z=66}
[05Dec2024 00:12:59.190] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=378, y=54, z=65} BlockPos{x=378, y=53, z=66}
[05Dec2024 00:12:59.231] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=378, y=55, z=68} BlockPos{x=378, y=53, z=66}
[05Dec2024 00:12:59.305] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=378, y=55, z=68} BlockPos{x=378, y=53, z=66}
[05Dec2024 00:14:54.118] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [crookygr: Killed 366 entities]
[05Dec2024 00:17:09.737] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=767, y=22, z=-13} BlockPos{x=767, y=20, z=-13}
[05Dec2024 00:17:22.990] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.048] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
[05Dec2024 00:17:23.097] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=780, y=18, z=-14} BlockPos{x=781, y=19, z=-14}
